,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,seed_route_score,route_2_score,route_3_score
0,105717322,19.347035430340625,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,2.582222222222222,,,,,4,2.787479874785069,
1,105717322,21.16136129175509,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,1.5797222222222222,,,,,4,3.4990557361995345,
2,105717322,20.06523516737886,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,1.9691666666666667,,,,,4,2.8313185007121917,
3,105717322,19.606290722934418,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,2.386388888888889,,,,,4,2.8313185007121917,
4,105717322,19.784243973459542,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,2.855833333333333,,,,,4,3.525660640126208,
5,105717322,20.303568500712196,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,1.7525,,,,,4,2.8313185007121917,
6,105717322,19.504376896196717,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,2.584722222222222,,,,,4,2.947571340641162,
7,105717322,16.93864654145174,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,4.7716666666666665,105718000.0,"(38.6192, -109.618)",62.078243254998945,2.1894444444444447,4,2.787479874785069,3.4990557361995345
8,105717322,16.701535430340627,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,4.987222222222222,105718300.0,"(38.4951, -109.6202)",65.13477574657935,2.4050000000000002,4,2.787479874785069,2.8313185007121917
9,105717322,16.051924319229514,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,5.5777777777777775,105718600.0,"(38.305, -109.866)",100.47348602532716,2.9955555555555557,4,2.787479874785069,2.8313185007121917
10,105717322,18.720583513977314,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.798611111111111,105717400.0,"(38.0363, -109.5455)",62.076379136789,2.218888888888889,4,3.4990557361995345,2.787479874785069
11,105717322,19.394333513977315,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.186111111111111,105718300.0,"(38.4951, -109.6202)",15.390781314079064,1.6063888888888889,4,3.4990557361995345,2.8313185007121917
12,105717322,19.025222402866202,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.5216666666666665,105718600.0,"(38.305, -109.866)",41.619545900804056,1.9419444444444445,4,3.4990557361995345,2.8313185007121917
13,105717322,17.383374056267748,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.407222222222222,105717400.0,"(38.0363, -109.5455)",65.13477574657935,2.4380555555555556,4,2.8313185007121917,2.787479874785069
14,105717322,18.290262945156634,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,3.582777777777778,105718000.0,"(38.6192, -109.618)",15.392645432289013,1.613611111111111,4,2.8313185007121917,3.4990557361995345
15,105717322,17.402929611823303,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.389444444444445,105718600.0,"(38.305, -109.866)",53.787888202617225,2.4202777777777778,4,2.8313185007121917,2.8313185007121917
16,105717322,16.28123516737886,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,5.409166666666667,105717400.0,"(38.0363, -109.5455)",100.53997290814868,3.022777777777778,4,2.8313185007121917,2.787479874785069
17,105717322,17.469235167378862,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,4.329166666666667,105718000.0,"(38.6192, -109.618)",41.705916711198384,1.9427777777777777,4,2.8313185007121917,3.4990557361995345
18,105717322,16.955290722934414,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,4.796388888888889,105718300.0,"(38.4951, -109.6202)",53.854375085438754,2.41,4,2.8313185007121917,2.8313185007121917
19,105717322,18.381438417903986,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,4.13111111111111,105717400.0,"(38.0363, -109.5455)",6.097530664744554,1.2752777777777777,4,3.525660640126208,2.787479874785069
20,105717322,17.073355084570654,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,5.320277777777777,105718000.0,"(38.6192, -109.618)",68.1757739197435,2.464444444444444,4,3.525660640126208,3.4990557361995345
21,105717322,16.827077306792876,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,5.5441666666666665,105718300.0,"(38.4951, -109.6202)",71.2323064113239,2.6883333333333335,4,3.525660640126208,2.8313185007121917
22,105717322,16.18266064012621,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,6.129999999999999,105718600.0,"(38.305, -109.866)",106.57101669007172,3.2741666666666664,4,3.525660640126208,2.8313185007121917
