,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,route_4_id,route_4_coords,dist_to_route_4,time_to_route_4,seed_route_score,route_2_score,route_3_score,route_4_score
0,105717322,12.93343805903898,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,2.582222222222222,,,,,,,,,4,2.9738825034834244,,
1,105717322,14.498021491830418,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,1.5797222222222222,,,,,,,,,4,3.4357159362748604,,
2,105717322,13.34761161132496,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,1.9691666666666667,,,,,,,,,4,2.7136949446582914,,
3,105717322,12.888667166880513,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,2.386388888888889,,,,,,,,,4,2.7136949446582914,,
4,105717322,13.163726572504249,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,2.855833333333333,,,,,,,,,4,3.505143239170914,,
5,105717322,13.585944944658292,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,1.7525,,,,,,,,,4,2.7136949446582914,,
6,105717322,12.881135565270775,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,2.584722222222222,,,,,,,,,4,2.924330009715218,,
7,105717322,13.957709550869396,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,4.774444444444445,105718000.0,"(38.6192, -109.618)",62.078243254998945,2.192222222222222,,,,,4,2.9738825034834244,3.4357159362748604,
8,105717322,13.001633003697272,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,4.987222222222222,105718300.0,"(38.4951, -109.6202)",65.13477574657935,2.4050000000000002,,,,,4,2.9738825034834244,2.7136949446582914,
9,105717322,12.352021892586162,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,5.5777777777777775,105718600.0,"(38.305, -109.866)",100.47348602532716,2.9955555555555557,,,,,4,2.9738825034834244,2.7136949446582914,
10,105717322,15.031126217536062,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.798611111111111,105717400.0,"(38.0363, -109.5455)",62.076379136789,2.218888888888889,,,,,4,3.4357159362748604,2.9738825034834244,
11,105717322,15.44468865871093,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.186111111111111,105718300.0,"(38.4951, -109.6202)",15.390781314079064,1.6063888888888889,,,,,4,3.4357159362748604,2.7136949446582914,
12,105717322,15.075577547599819,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.5216666666666665,105718600.0,"(38.305, -109.866)",41.619545900804056,1.9419444444444445,,,,,4,3.4357159362748604,2.7136949446582914,
13,105717322,13.628021892586162,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.417777777777777,105717400.0,"(38.0363, -109.5455)",65.13477574657935,2.448611111111111,,,,,4,2.7136949446582914,2.9738825034834244,
14,105717322,15.008355325377597,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,3.582777777777778,105718000.0,"(38.6192, -109.618)",15.392645432289013,1.613611111111111,,,,,4,2.7136949446582914,3.4357159362748604,
15,105717322,13.391362111538804,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.39638888888889,105718600.0,"(38.305, -109.866)",53.787888202617225,2.4272222222222224,,,,,4,2.7136949446582914,2.7136949446582914,
16,105717322,12.537494114808384,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,5.409166666666667,105717400.0,"(38.0363, -109.5455)",100.53997290814868,3.022777777777778,,,,,4,2.7136949446582914,2.9738825034834244,
17,105717322,14.187327547599818,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,4.329166666666667,105718000.0,"(38.6192, -109.618)",41.705916711198384,1.9427777777777777,,,,,4,2.7136949446582914,3.4357159362748604,
18,105717322,12.961445444872139,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,4.787222222222223,105718300.0,"(38.4951, -109.6202)",53.854375085438754,2.4008333333333334,,,,,4,2.7136949446582914,2.7136949446582914,
19,105717322,14.73480352043212,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,4.13111111111111,105717400.0,"(38.0363, -109.5455)",6.097530664744554,1.2752777777777777,,,,,4,3.505143239170914,2.9738825034834244,
20,105717322,13.88855361989022,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,5.320277777777777,105718000.0,"(38.6192, -109.618)",68.1757739197435,2.464444444444444,,,,,4,3.505143239170914,3.4357159362748604,
21,105717322,12.929115961606986,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,5.5361111111111105,105718300.0,"(38.4951, -109.6202)",71.2323064113239,2.6802777777777775,,,,,4,3.505143239170914,2.7136949446582914,
