,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,route_4_id,route_4_coords,dist_to_route_4,time_to_route_4,route_5_id,route_5_coords,dist_to_route_5,time_to_route_5,route_6_id,route_6_coords,dist_to_route_6,time_to_route_6,route_7_id,route_7_coords,dist_to_route_7,time_to_route_7,seed_route_score,route_2_score,route_3_score,route_4_score,route_5_score,route_6_score,route_7_score
0,105717322,16.23343805903898,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,2.582222222222222,,,,,,,,,,,,,,,,,,,,,4,2.9738825034834244,,,,,
1,105717322,17.798021491830415,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,1.5797222222222222,,,,,,,,,,,,,,,,,,,,,4,3.4357159362748604,,,,,
2,105717322,16.657389389102736,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,1.9602777777777778,,,,,,,,,,,,,,,,,,,,,4,2.7136949446582914,,,,,
3,105717322,16.188667166880514,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,2.386388888888889,,,,,,,,,,,,,,,,,,,,,4,2.7136949446582914,,,,,
4,105717322,16.463115461393137,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.8563888888888886,2.8563888888888886,,,,,,,,,,,,,,,,,,,,,4,3.505143239170914,,,,,
5,105717322,16.88594494465829,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,1.7525,,,,,,,,,,,,,,,,,,,,,4,2.7136949446582914,,,,,
6,105717322,16.180524454159663,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.585277777777778,2.585277777777778,,,,,,,,,,,,,,,,,,,,,4,2.924330009715218,,,,,
7,105717322,17.257709550869397,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,4.774444444444445,105718000.0,"(38.6192, -109.618)",62.078243254998945,2.192222222222222,,,,,,,,,,,,,,,,,4,2.9738825034834244,3.4357159362748604,,,,
8,105717322,16.301633003697273,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,4.987222222222222,105718300.0,"(38.4951, -109.6202)",65.13477574657935,2.4050000000000002,,,,,,,,,,,,,,,,,4,2.9738825034834244,2.7136949446582914,,,,
9,105717322,15.648355225919495,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.582222222222222,5.581111111111111,105718600.0,"(38.305, -109.866)",100.47348602532716,2.9988888888888887,,,,,,,,,,,,,,,,,4,2.9738825034834244,2.7136949446582914,,,,
10,105717322,18.329903995313842,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.799722222222222,105717400.0,"(38.0363, -109.5455)",62.076379136789,2.2199999999999998,,,,,,,,,,,,,,,,,4,3.4357159362748604,2.9738825034834244,,,,
11,105717322,18.753855325377597,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.177777777777778,105718300.0,"(38.4951, -109.6202)",15.390781314079064,1.5980555555555556,,,,,,,,,,,,,,,,,4,3.4357159362748604,2.7136949446582914,,,,
12,105717322,18.374049769822044,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5797222222222222,3.5230555555555556,105718600.0,"(38.305, -109.866)",41.619545900804056,1.9433333333333334,,,,,,,,,,,,,,,,,4,3.4357159362748604,2.7136949446582914,,,,
13,105717322,16.949410781475052,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,4.398333333333333,105717400.0,"(38.0363, -109.5455)",65.13477574657935,2.4380555555555556,,,,,,,,,,,,,,,,,4,2.7136949446582914,2.9738825034834244,,,,
14,105717322,18.318133103155375,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,3.573888888888889,105718000.0,"(38.6192, -109.618)",15.392645432289013,1.613611111111111,,,,,,,,,,,,,,,,,4,2.7136949446582914,3.4357159362748604,,,,
15,105717322,16.70877877820547,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9602777777777778,4.3805555555555555,105718600.0,"(38.305, -109.866)",53.787888202617225,2.4202777777777778,,,,,,,,,,,,,,,,,4,2.7136949446582914,2.7136949446582914,,,,
16,105717322,15.837494114808383,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,5.409166666666667,105717400.0,"(38.0363, -109.5455)",100.53997290814868,3.022777777777778,,,,,,,,,,,,,,,,,4,2.7136949446582914,2.9738825034834244,,,,
17,105717322,17.487021992044262,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,4.329444444444444,105718000.0,"(38.6192, -109.618)",41.705916711198384,1.9430555555555555,,,,,,,,,,,,,,,,,4,2.7136949446582914,3.4357159362748604,,,,
18,105717322,16.261445444872138,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.386388888888889,4.787222222222223,105718300.0,"(38.4951, -109.6202)",53.854375085438754,2.4008333333333334,,,,,,,,,,,,,,,,,4,2.7136949446582914,2.7136949446582914,,,,
