,user_id,route_id,rating
0,10101,105847227,4
2,10102,105717328,4
3,10102,105717346,2
4,10102,105717349,4
5,10102,105717367,4
6,10102,105717445,1
7,10102,105717487,4
10,10102,105717928,1
11,10102,105717931,2
12,10102,105748268,3
14,10102,105749284,3
15,10102,105749470,4
16,10102,105749686,2
18,10102,105750361,3
19,10102,105753187,2
20,10102,105756370,2
21,10102,105756547,2
22,10102,105758116,2
23,10102,105857614,2
24,10102,105931317,2
25,10102,107907674,3
26,10102,107907701,2
27,10102,107907834,1
28,10102,107907856,3
29,10102,113201723,2
30,10106,105717289,2
31,10106,105717319,4
32,10106,105717322,4
33,10106,105718207,3
34,10106,105718486,3
35,10106,105732422,4
36,10106,105732866,2
37,10106,105738509,4
38,10106,105738728,2
39,10106,105738740,3
40,10106,105738815,2
41,10106,105748011,4
42,10106,105748047,4
43,10106,105748059,4
44,10106,105748148,2
45,10106,105748268,4
46,10106,105748316,2
47,10106,105748352,4
48,10106,105748361,4
49,10106,105748379,4
50,10106,105748382,2
51,10106,105748391,4
52,10106,105748406,3
53,10106,105748415,3
54,10106,105748421,4
55,10106,105748424,4
56,10106,105748433,3
57,10106,105748454,3
58,10106,105748457,3
59,10106,105748463,2
60,10106,105748481,3
61,10106,105748490,4
65,10106,105748520,2
66,10106,105748529,4
67,10106,105748586,1
68,10106,105748589,2
69,10106,105748648,1
70,10106,105748651,4
71,10106,105748654,4
72,10106,105748678,3
73,10106,105748687,3
74,10106,105748690,3
75,10106,105748705,2
76,10106,105748708,4
77,10106,105748711,4
78,10106,105748771,4
79,10106,105748780,4
80,10106,105748783,4
81,10106,105748786,4
82,10106,105748804,4
83,10106,105748924,3
85,10106,105748942,4
86,10106,105748945,4
87,10106,105749014,2
88,10106,105749029,4
89,10106,105749071,4
90,10106,105749101,3
91,10106,105749125,4
92,10106,105749131,2
93,10106,105749137,3
94,10106,105749140,3
95,10106,105749158,4
96,10106,105749167,2
97,10106,105749170,2
98,10106,105749214,4
99,10106,105749216,4
100,10106,105749219,4
101,10106,105749222,4
102,10106,105749239,2
103,10106,105749242,3
104,10106,105749251,4
105,10106,105749272,4
106,10106,105749275,4
107,10106,105749293,3
108,10106,105749299,3
109,10106,105749419,4
110,10106,105749536,3
111,10106,105749575,4
113,10106,105749692,2
114,10106,105749728,4
115,10106,105749743,4
116,10106,105749824,3
117,10106,105749872,4
118,10106,105749890,3
119,10106,105749893,2
120,10106,105749896,4
121,10106,105749899,2
122,10106,105749902,3
123,10106,105749953,4
124,10106,105749956,3
125,10106,105749962,3
126,10106,105750004,4
127,10106,105750013,4
128,10106,105750031,4
129,10106,105750049,3
130,10106,105750109,2
131,10106,105750400,4
132,10106,105750403,3
133,10106,105750406,4
134,10106,105750412,1
135,10106,105750415,3
136,10106,105750418,3
137,10106,105750454,4
138,10106,105750472,2
139,10106,105750517,3
140,10106,105750523,4
142,10106,105750565,3
143,10106,105750577,4
